1,2pc. Hotcake,55,NA,65,NA,NA,NA
2,Breakfast Crispy Chicken Fillet Ala King with Egg,102,148,120,NA,NA,NA
3,Breakfast Crispy Chicken Fillet with Egg,103,149,121,NA,NA,NA
4,Breakfast 2pc. Chicken with Egg,183,226,198,NA,NA,NA
5,Breakfast 1pc. Chicken with Egg,116,159,131,NA,NA,NA
6,Burgerdesal,42,NA,60,NA,NA,NA
7,Cheesy Eggdesal with Ham,67,109,82,NA,NA,NA
8,Cheesy Eggdesal with Sausage,77,116,92,NA,NA,NA
9,Cheesy Eggdesal,42,NA,60,NA,NA,NA
10,Big Breakfast,123,146,NA,NA,NA,NA
11,Sausage Platter w/ Rice,97,145,120,NA,NA,NA
12,Longanisa with Rice,98,140,112,NA,NA,NA
13,3pc. Hotcake,79,130,102,NA,NA,NA
14,2pc. Hotcake & Sausage,79,130,102,NA,NA,NA
15,Sausage McMuffin with Egg,79,130,102,NA,NA,NA
16,Sausage McMuffin,65,115,87,NA,NA,NA
17,Egg McMuffin,75,126,98,NA,NA,NA
18,2pc. Chicken McDo,149,NA,NA,159,169,174
19,1pc. Chicken McDo,83,NA,NA,89,99,104
20,Crispy Chicken Fillet with Rice,57,NA,NA,60,70,NA
21,Crispy Chicken Sandwich,47,NA,NA,60,70,NA
22,Hasbrowns,32,NA,NA,NA,NA,NA
