Garlic Parmesan McSpicy,100,139,159,179
McSpicy,100,139,159,179
Cheesy Burger McDo,46,89,109,126
Double Cheese Burger,107,142,162,179
Big Mac,143,173,193,210
Quarter Pounder with Cheese,143,173,193,210
McChicken Sandwich,105,135,155,172
Fillet-O-Fish,105,135,155,172
Cheeseburger Deluxe,82,113,133,150
CheeseBurger,52,95,115,132
Burger McDo,36,82,102,119
Crispy Chicken Sandwich,NA,90,110,127
Upgrade to Medium Fries,NA,20,NA,NA
Upgrade to Large Fries,NA,30,14,NA
Upgrade to Twister Fries,NA,29,20,10
Upgrade to Medium Soda,NA,10,NA,NA
Upgrade to Large Soda,NA,15,5,NA
Upgrade to McCafe Coffee Float,NA,19,13,11
Upgrade to Iced Premium Roast Coffee Vanilla,NA,15,15,NA
Upgrade to Iced Premium Roast Coffee Plain,NA,12,7,NA
Upgrade to Medium Coke McFloat,NA,20,20,NA
Upgrade to Large Coke McFloat,NA,25,25,25
Upgrade to Medium Green Apple Sprite McFloat,NA,NA,20,20
Upgrade to Large Green Apple Sprite McFloat,NA,NA,25,25
Upgrade to Regular Juice,NA,7,,NA
Upgrade to Medium Juice,NA,17,7,NA
Upgrade to Large Juice,NA,22,NA,5
