1,Coke,N/A,40,50,57
2,Coke Zero,N/A,40,50,57
3,Sprite,N/A,40,50,57
4,Coke McFloat,N/A,N/A,32,42
5,Green Apple Sprite McFloat,N/A,N/A,32,42
6,McCafe Coffee Float,N/A,59,N/A,N/A
7,Iced Premium Roast Coffee Vanilla,N/A,52,N/A,N/A
8,Iced Premium Roast Coffee Plain,N/A,42,N/A,N/A
9,McCafe Premium Roast Coffee,N/A,32,45,N/A
10,Hot Chocolate,N/A,37,N/A,N/A
11,Iced Tea,N/A,48,55,59
12,Orange Juice,N/A,48,55,59
13,Pineapple Juice,N/A,48,55,59
14,Twister Fries BFF,145,N/A,N/A,N/A
15,Twister Fries,75,N/A,N/A,N/A
16,Mushroom Soup,39,N/A,N/A,N/A
17,BFF Fries,124,N/A,N/A,N/A
18,Fries,N/A,35,60,71
19,Extra Plain Rice,25,N/A,N/A,N/A
20,Twister Fries BFF & 3 McFloat Combo,205,N/A,N/A,N/A
21,Twister Fries & McFloat Combo,95,N/A,N/A,N/A
22,BFF Fries N' McFloat Combo,180,N/A,N/A,N/A
23,Medium Fries N' McFloat Combo,82,N/A,N/A,N/A
