1,2pc. Hotcake,55,N/A,65,N/A,N/A,N/A,N/A
2,Breakfast Crispy Chicken Fillet Ala King with Egg,102,148,120,N/A,N/A,N/A,N/A
3,Breakfast Crispy Chicken Fillet with Egg,103,149,121,N/A,N/A,N/A,N/A
4,Breakfast 2pc. Chicken with Egg,183,226,198,N/A,N/A,N/A,N/A
5,Breakfast 1pc. Chicken with Egg,116,159,131,N/A,N/A,N/A,N/A
6,Burgerdesal,42,N/A,60,N/A,N/A,N/A,N/A
7,Cheesy Eggdesal with Ham,67,109,82,N/A,N/A,N/A,N/A
8,Cheesy Eggdesal with Sausage,77,116,92,N/A,N/A,N/A,N/A
9,Cheesy Eggdesal,42,N/A,60,N/A,N/A,N/A,N/A
10,Big Breakfast,123,146,N/A,N/A,N/A,N/A,N/A
11,Sausage Platter w/ Rice,97,145,120,N/A,N/A,N/A,N/A
12,Longanisa with Rice,98,140,112,N/A,N/A,N/A,N/A
13,3pc. Hotcake,79,130,102,N/A,N/A,N/A,N/A
14,2pc. Hotcake & Sausage,79,130,102,N/A,N/A,N/A,N/A
15,Sausage McMuffin with Egg,79,130,102,N/A,N/A,N/A,N/A
16,Sausage McMuffin,65,115,87,N/A,N/A,N/A,N/A
17,Egg McMuffin,75,126,98,N/A,N/A,N/A,N/A
18,2pc. Chicken McDo,149,N/A,N/A,159,169,174,N/A
19,1pc. Chicken McDo,83,N/A,N/A,89,99,104,N/A
20,Crispy Chicken Fillet with Rice,57,N/A,N/A,60,70,N/A,N/A
21,Crispy Chicken Sandwich,47,N/A,N/A,60,70,N/A,N/A
22,Hasbrowns,32,N/A,N/A,N/A,N/A,N/A,N/A
