2pc. Hotcake,55,NA,65,NA,NA,NA
Breakfast Crispy Chicken Fillet Ala King with Egg,102,148,120,NA,NA,NA
Breakfast Crispy Chicken Fillet with Egg,103,149,121,NA,NA,NA
Breakfast 2pc. Chicken with Egg,183,226,198,NA,NA,NA
Breakfast 1pc. Chicken with Egg,116,159,131,NA,NA,NA
Burgerdesal,42,NA,60,NA,NA,NA
Cheesy Eggdesal with Ham,67,109,82,NA,NA,NA
Cheesy Eggdesal with Sausage,77,116,92,NA,NA,NA
Cheesy Eggdesal,42,NA,60,NA,NA,NA
Big Breakfast,123,146,NA,NA,NA,NA
Sausage Platter w/ Rice,97,145,120,NA,NA,NA
Longanisa with Rice,98,140,112,NA,NA,NA
3pc. Hotcake,79,130,102,NA,NA,NA
2pc. Hotcake & Sausage,79,130,102,NA,NA,NA
Sausage McMuffin with Egg,79,130,102,NA,NA,NA
Sausage McMuffin,65,115,87,NA,NA,NA
Egg McMuffin,75,126,98,NA,NA,NA
2pc. Chicken McDo,149,NA,NA,159,169,174
1pc. Chicken McDo,83,NA,NA,89,99,104
Crispy Chicken Fillet with Rice,57,NA,NA,60,70,NA
Crispy Chicken Sandwich,47,NA,NA,60,70,NA
Hasbrowns,32,NA,NA,NA,NA,NA
Upgrade to Medium Coffee,NA,10,10,10,10,10
Upgrade to Large Soda,NA,15,15,15,15,15
Upgrade to Medium Juice,NA,17,17,17,17,17
Upgrade to Large Juice,NA,22,22,22,22,22
Upgrade to McCafe Coffee Float,NA,19,19,19,19,19
Upgrade to Iced Premium Roast Coffee Vanilla,NA,15,15,15,15,15
Upgrade to Iced Premium Roast Coffee Plain,NA,12,12,12,12,12
Upgrade to Medium Coke McFloat,NA,20,20,20,20,20
Upgrade to Large Coke McFloat,NA,25,25,25,25,25
